name,city,country
Kunming Changshui International Airport,Kunming,China
Hato International Airport,Willemstad,Curaçao
Entebbe International Airport,Kampala,Uganda
Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,Mauritius
Charlottetown Airport,Charlottetown,Canada
Elmira Corning Regional Airport,Elmira/Corning,United States
Fort Smith Regional Airport,Fort Smith,United States
Glacier Park International Airport,Kalispell,United States
La Crosse Regional Airport,La Crosse,United States
Luxor International Airport,Luxor,Egypt
Maastricht Aachen Airport,Maastricht,Netherlands
Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua
Tweed New Haven Airport,New Haven,United States
Sault Ste Marie Airport,Sault Ste Marie,Canada
Waco Regional Airport,Waco,United States
Laughlin Bullhead International Airport,Bullhead City,United States
Calgary / Springbank Airport,Calgary,Canada
Boundary Bay Airport,Delta,Canada
St Lucie County International Airport,Fort Pierce,United States
Burlington Executive Airpark,Burlington,Canada
Almaty International Airport,Almaty,Kazakhstan
Juan Gualberto Gomez International Airport,Matanzas,Cuba
Hazrat Shahjalal International Airport,Dhaka,Bangladesh
Abeid Amani Karume International Airport,Zanzibar,Tanzania
Chicago Rockford International Airport,Chicago/Rockford,United States
Goose Bay Airport,Goose Bay,Canada
Cape Cod Gateway Airport,Hyannis,United States
Mykonos Island National Airport,Mykonos,Greece
San Angelo Regional Mathis Field,San Angelo,United States
Zadar Airport,Zemunik Donji (Zadar),Croatia
Ottawa / Gatineau Airport,Gatineau,Canada
Punta Gorda Airport,Punta Gorda,United States
Adisutjipto Airport,Yogyakarta,Indonesia
Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,United States
The Florida Keys Marathon Airport,Marathon,United States
Portland Hillsboro Airport,Portland,United States
Dallas Executive Airport,Dallas,United States
Petaluma Municipal Airport,Petaluma,United States
Reid-Hillview Airport of Santa Clara County,San Jose,United States
Juanda International Airport,Surabaya,Indonesia
Milas Bodrum International Airport,Bodrum,Turkey
Cochin International Airport,Kochi,India
Antwerp International Airport (Deurne),Antwerp,Belgium
Cheyenne Regional Jerry Olson Field,Cheyenne,United States
Dortmund Airport,Dortmund,Germany
North Bay Jack Garland Airport,North Bay,Canada
Piarco International Airport,Port of Spain,Trinidad and Tobago
Salgado Filho International Airport,Porto Alegre,Brazil
Rocky Mountain Metropolitan Airport,Denver,United States
Friday Harbor Airport,Friday Harbor,United States
State College Regional Airport,State College,United States
Chandler Municipal Airport,Chandler,United States
Tracy Municipal Airport,Tracy,United States
Faa'a International Airport,Papeete,French Polynesia
Gibraltar Airport,Gibraltar,Gibraltar
Katowice Wojciech Korfanty International Airport,Katowice,Poland
Modesto City Co-Harry Sham Field,Modesto,United States
Monastir Habib Bourguiba International Airport,Monastir,Tunisia
Abilene Regional Airport,Abilene,United States
Lake Havasu City International Airport,Lake Havasu City,United States
Truckee Tahoe Airport,Truckee,United States
Dutchess County Airport,Poughkeepsie,United States
Fulton County Airport Brown Field,Atlanta,United States
Jacksonville Executive at Craig Airport,Jacksonville,United States
Ottawa / Carp Airport,Ottawa,Canada
Oxnard Airport,Oxnard,United States
Half Moon Bay Airport,Half Moon Bay,United States
First Flight Airport,Kill Devil Hills,United States
Ocala International Airport - Jim Taylor Field,Ocala,United States
Zamperini Field,Torrance,United States
Moi International Airport,Mombasa,Kenya
Philip S. W. Goldson International Airport,Belize City,Belize
Genoa Cristoforo Colombo Airport,Genova (GE),Italy
Manuel Crescencio Rejón International Airport,Mérida,Mexico
Berlin Tempelhof Airport,Berlin,Germany
Athens Ben Epps Airport,Athens,United States
Igor I Sikorsky Memorial Airport,Bridgeport,United States
Lancaster Airport,Lancaster,United States
Jose Maria Córdova International Airport,Medellín,Colombia
V C Bird International Airport,Osbourn,Antigua and Barbuda
Prince George Airport,Prince George,Canada
Trieste–Friuli Venezia Giulia Airport,Ronchi dei Legionari (GO),Italy
Guernsey Airport,Saint Peter Port,Guernsey
Spirit of St Louis Airport,St Louis,United States
Manassas Regional Airport/Harry P. Davis Field,Manassas,United States
Big Bear City Airport,Big Bear,United States
Columbia Airport,Columbia,United States
Frederick Municipal Airport,Frederick,United States
Wiley Post Airport,Oklahoma City,United States
Gimhae International Airport,Busan,South Korea
Seychelles International Airport,Mahe Island,Seychelles
Monseñor Óscar Arnulfo Romero International Airport,San Salvador (San Luis Talpa),El Salvador
Yangon International Airport,Yangon,Myanmar
Cedar City Regional Airport,Cedar City,United States
Erie International Tom Ridge Field,Erie,United States
Fayetteville Regional Airport - Grannis Field,Fayetteville,United States
Grand Forks International Airport,Grand Forks,United States
Hobart International Airport,Hobart,Australia
Jerez Airport,Jerez de la Frontera,Spain
Poznań-Ławica Airport,Poznań,Poland
Redding Municipal Airport,Redding,United States
Salina Municipal Airport,Salina,United States
Durango La Plata County Airport,Durango,United States
Memmingen Allgau Airport,Memmingen,Germany
Niagara Falls International Airport,Niagara Falls,United States
Ogden Hinckley Airport,Ogden,United States
Morristown Municipal Airport,Morristown,United States
Dupage Airport,Chicago/West Chicago,United States
Page Field,Fort Myers,United States
Jacqueline Cochran Regional Airport,Palm Springs,United States
Clermont County Airport,Batavia,United States
Fullerton Municipal Airport,Fullerton,United States
Renton Municipal Airport,Renton,United States
Skopje International Airport,Ilinden,North Macedonia
Tirana International Airport Mother Teresa,Rinas,Albania
Columbia Regional Airport,Columbia,United States
Iqaluit Airport,Iqaluit,Canada
Recife/Guararapes - Gilberto Freyre International Airport,Recife,Brazil
Abraham Lincoln Capital Airport,Springfield,United States
Yellowknife International Airport,Yellowknife,Canada
Coleman A. Young Municipal Airport,Detroit,United States
Barrie-Lake Simcoe Regional Airport,Barrie,Canada
Destin Executive Airport,Destin,United States
Modlin Airport,Nowy Dwór Mazowiecki,Poland
Auburn Municipal Airport,Auburn,United States
Essex County Airport,Caldwell,United States
Flying Cloud Airport,Minneapolis,United States
Nursultan Nazarbayev International Airport,Astana,Kazakhstan
Antonio B. Won Pat International Airport,Hagåtña,Guam
Brownsville South Padre Island International Airport,Brownsville,United States
Tri Cities Airport,Pasco,United States
Strasbourg Airport,Strasbourg,France
Malvinas Argentinas Airport,Ushuaia,Argentina
Worcester Regional Airport,Worcester,United States
Willow Run Airport,Detroit,United States
Oostende-Brugge International Airport,Oostende,Belgium
Sacramento Mather Airport,Sacramento,United States
Stockton Metropolitan Airport,Stockton,United States
Scholes International At Galveston Airport,Galveston,United States
Brown Field Municipal Airport,San Diego,United States
St Simons Island Airport,St Simons Island,United States
French Valley Airport,Murrieta,United States
Witham Field,Stuart,United States
Jeju International Airport,Jeju City,South Korea
Naha Airport / JASDF Naha Air Base,Naha,Japan
Brunei International Airport,Bandar Seri Begawan,Brunei
Al Massira Airport,Agadir (Temsia),Morocco
Viracopos International Airport,Campinas,Brazil
Oulu Airport,Oulu / Oulunsalo,Finland
Penticton Airport,Penticton,Canada
Roberts Field,Redmond,United States
Chris Hadfield Airport,Sarnia,Canada
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada
Tyler Pounds Regional Airport,Tyler,United States
Copernicus Wrocław Airport,Wrocław,Poland
Castle Airport,Merced,United States
Cornwall Regional Airport,Cornwall,Canada
Gwinnett County Briscoe Field,Lawrenceville,United States
Lake County Airport,Leadville,United States
Marin County Airport - Gnoss Field,Novato,United States
Tashkent International Airport,Tashkent,Uzbekistan
Manas International Airport,Bishkek,Kyrgyzstan
Burgas Airport,Burgas,Bulgaria
Macau International Airport,Nossa Senhora do Carmo,Macau
Jinnah International Airport,Karachi,Pakistan
Pinto Martins International Airport,Fortaleza,Brazil
Cataratas International Airport,Foz do Iguaçu,Brazil
Lebanon Municipal Airport,Lebanon,United States
Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,United States
Pula Airport,Pula,Croatia
Roswell Air Center Airport,Roswell,United States
Northwest Florida Beaches International Airport,Panama City Beach,United States
Pitt Meadows Airport,Pitt Meadows,Canada
Kingman Airport,Kingman,United States
Westfield-Barnes Regional Airport,Westfield,United States
Hong Kong International Airport Kai Tak,Kowloon City,Hong Kong
Oakland County International Airport,Pontiac,United States
Dillant Hopkins Airport,Keene,United States
Chino Airport,Chino,United States
Harris Ranch Airport,Coalinga,United States
New Century AirCenter Airport,New Century,United States
Venice Municipal Airport,Venice,United States
Winter Haven Regional Airport - Gilbert Field,Winter Haven,United States
Imam Khomeini International Airport,Tehran,Iran
General Abelardo L. Rodriguez International Airport,Tijuana,Mexico
Hosea Kutako International Airport,Windhoek,Namibia
Cozumel International Airport,Cozumel,Mexico
Carcassonne Airport,Carcassonne/Salvaza,France
Afonso Pena Airport,Curitiba,Brazil
Grande Prairie Airport,Grande Prairie,Canada
Valley International Airport,Harlingen,United States
Kota Kinabalu International Airport,Kota Kinabalu,Malaysia
Lafayette Regional Airport,Lafayette,United States
Linz-Hörsching Airport / Vogler Air Base,Linz,Austria
Minot International Airport,Minot,United States
Monroe Regional Airport,Monroe,United States
Gregorio Luperon International Airport,Puerto Plata,Dominican Republic
Williamsport Regional Airport,Williamsport,United States
Bern Airport,Bern,Switzerland
Northeast Philadelphia Airport,Philadelphia,United States
Provo-Utah Lake International Airport,Provo,United States
Floyd Bennett Memorial Airport,Glens Falls,United States
Cobb County International Airport-McCollum Field,Atlanta,United States
Brockville - Thousand Islands Regional Tackaberry Airport,Brockville,Canada
Casa Grande Municipal Airport,Casa Grande,United States
Guelph Airport,Guelph,Canada
Ryan Field,Tucson,United States
Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,Montenegro
Martinique Aimé Césaire International Airport,Fort-de-France,Martinique
General Rafael Buelna International Airport,Mazatlàn,Mexico
Thiruvananthapuram International Airport,Thiruvananthapuram,India
Aalborg Airport,Aalborg,Denmark
Alice Springs Airport,Alice Springs,Australia
Bournemouth Airport,"Christchurch, Dorset",United Kingdom
Helena Regional Airport,Helena,United States
Langkawi International Airport,Langkawi,Malaysia
Laredo International Airport,Laredo,United States
Lethbridge County Airport,Lethbridge,Canada
East Texas Regional Airport,Longview,United States
Lajes Airport,Praia da Vitória,Portugal
Wilmington Airport,Wilmington,United States
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States
McClellan Airfield,Sacramento,United States
Space Coast Regional Airport,Titusville,United States
Blythe Airport,Blythe,United States
Bowman Field,Louisville,United States
Huronia Airport,Midland,Canada
St Thomas Municipal Airport,St Thomas,Canada
Tulsa Riverside Airport,Tulsa,United States
Georgetown Executive Airport at Johnny Gantt Field,Georgetown,United States
Charleston Executive Airport,Johns Island,United States
Laconia Municipal Airport,Laconia / Gilford,United States
Stratford Municipal Airport,Stratford,Canada
Xiamen Gaoqi International Airport,Xiamen,China
Tancredo Neves International Airport,Belo Horizonte,Brazil
Minsk National Airport,Minsk,Belarus
Hangzhou Xiaoshan International Airport,Hangzhou,China
Viru Viru International Airport,Santa Cruz,Bolivia
Chongqing Jiangbei International Airport,Chongqing,China
General Juan N. Álvarez International Airport,Acapulco,Mexico
Sardar Vallabh Bhai Patel International Airport,Ahmedabad,India
"Molde Airport, Årø",Årø,Norway
Greater Binghamton/Edwin A Link field,Binghamton,United States
Rickenbacker International Airport,Columbus,United States
MBS International Airport,Freeland,United States
Memorial Field Airport,Hot Springs,United States
Cataratas Del Iguazú International Airport,Puerto Iguazu,Argentina
Rovaniemi Airport,Rovaniemi,Finland
Wattay International Airport,Vientiane,Laos
Riverside Municipal Airport,Riverside,United States
Brampton-Caledon Airport,,Canada
Sugar Land Regional Airport,Houston,United States
Norwood Memorial Airport,Norwood,United States
Red Bluff Municipal Airport,Red Bluff,United States
Chico Regional Airport,Chico,United States
Parry Sound Area Municipal Airport,Parry Sound,Canada
Provincetown Municipal Airport,Provincetown,United States
Chubu Centrair International Airport,Tokoname,Japan
Guadeloupe - Maryse Condé International Airport,Pointe-à-Pitre,Guadeloupe
